X_mm,Y_mm,Timestamp
1085,993,1771516304.995392
1098,1012,1771516305.043472
1102,1030,1771516305.093098
1115,1036,1771516305.1452725
1108,1039,1771516305.1921897
1106,1047,1771516305.2474082
1098,1045,1771516305.2998755
1095,1040,1771516305.3431158
1095,1038,1771516305.3925896
1055,1019,1771516305.4479737
1121,1009,1771516305.4950697
1044,994,1771516305.5502732
1053,982,1771516305.5956194
1035,973,1771516305.653859
1056,954,1771516305.7116091
1057,942,1771516305.763114
1039,925,1771516305.8099356
949,914,1771516305.862325
1013,898,1771516305.9096751
1032,878,1771516305.9669259
976,858,1771516306.0099342
976,839,1771516306.0595834
989,816,1771516306.110553
965,795,1771516306.1704347
998,774,1771516306.232201
998,754,1771516306.232201
783,736,1771516306.2677593
995,720,1771516306.3272977
956,707,1771516306.3792424
984,698,1771516306.4373786
984,690,1771516306.481677
948,686,1771516306.5277562
943,684,1771516306.5764606
957,686,1771516306.6254194
990,687,1771516306.678613
953,691,1771516306.7275517
951,696,1771516306.777088
941,704,1771516306.8317199
919,711,1771516306.8798468
919,716,1771516306.9240296
907,722,1771516306.9872732
913,730,1771516307.0448616
525,733,1771516307.095773
981,730,1771516307.1437948
923,731,1771516307.1988063
916,730,1771516307.258126
920,729,1771516307.311112
939,725,1771516307.3597167
901,725,1771516307.4093688
924,722,1771516307.4613686
812,717,1771516307.5107985
999,712,1771516307.5594313
837,707,1771516307.6104612
946,703,1771516307.6609752
976,699,1771516307.7098048
958,695,1771516307.7596529
994,692,1771516307.811729
995,692,1771516307.8617444
1000,694,1771516307.9116518
993,697,1771516307.9621263
968,704,1771516308.0120213
976,712,1771516308.0606313
1013,723,1771516308.1109183
977,737,1771516308.161562
1005,747,1771516308.2129056
1066,759,1771516308.2589617
1032,773,1771516308.312489
1019,789,1771516308.3598673
1042,791,1771516308.4160066
1014,801,1771516308.4598386
1009,811,1771516308.512868
1012,809,1771516308.5612214
1030,810,1771516308.6169214
1027,802,1771516308.6668434
1035,796,1771516308.717099
1039,795,1771516308.7629948
1062,784,1771516308.8148406
1068,780,1771516308.8630645
1072,778,1771516308.914575
1061,772,1771516308.9723327
1098,768,1771516309.0147874
1025,761,1771516309.0616817
1124,760,1771516309.1099806
1114,760,1771516309.159693
1121,762,1771516309.208742
1063,765,1771516309.260903
1105,779,1771516309.3167217
1120,788,1771516309.3658042
1136,800,1771516309.4107704
1104,818,1771516309.4607873
672,825,1771516309.5099676
1124,851,1771516309.5707796
1113,867,1771516309.6129065
1137,883,1771516309.6616836
1084,899,1771516309.7103841
1110,914,1771516309.7679513
1118,930,1771516309.8113751
1104,950,1771516309.8627825
1113,957,1771516309.9101837
1104,975,1771516309.9578424
1070,981,1771516310.0110092
1085,994,1771516310.0626054
1107,1000,1771516310.1076636
1101,1009,1771516310.162695
1054,1009,1771516310.209839
1086,1017,1771516310.260835
1078,1009,1771516310.315073
1080,1004,1771516310.3629482
1075,1001,1771516310.4140024
1081,983,1771516310.46161
1050,961,1771516310.5120904
953,948,1771516310.5661905
1073,927,1771516310.6114955
1066,908,1771516310.6676292
1030,880,1771516310.7106292
